FLUKE 289,  V1.16,  33850029

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,,Start Time,Duration,Max Time,Max,,Average,,Min Time,Min,,Description,Stop Time
1,4.8681,V DC,24/10/2022 8:33:49.8,0:00:00.4,24/10/2022 8:33:49.8,4.8681,V DC,4.867975,V DC,24/10/2022 8:33:50.0,4.8679,V DC,Interval,24/10/2022 8:33:50.2
2,4.8679,V DC,24/10/2022 8:33:50.2,0:00:01.0,24/10/2022 8:33:50.2,4.8679,V DC,4.86783,V DC,24/10/2022 8:33:50.4,4.8678,V DC,Interval,24/10/2022 8:33:51.2
3,4.8678,V DC,24/10/2022 8:33:51.2,0:00:01.0,24/10/2022 8:33:51.9,4.8679,V DC,4.8678,V DC,24/10/2022 8:33:52.1,4.8677,V DC,Interval,24/10/2022 8:33:52.2
4,4.8677,V DC,24/10/2022 8:33:52.2,0:00:01.0,24/10/2022 8:33:52.2,4.8677,V DC,4.8677,V DC,24/10/2022 8:33:52.2,4.8677,V DC,Interval,24/10/2022 8:33:53.3
5,4.8677,V DC,24/10/2022 8:33:53.3,0:00:01.0,24/10/2022 8:33:53.9,4.8689,V DC,4.86794,V DC,24/10/2022 8:33:53.3,4.8677,V DC,Interval,24/10/2022 8:33:54.3
6,4.8678,V DC,24/10/2022 8:33:54.3,0:00:01.0,24/10/2022 8:33:54.6,4.8688,V DC,4.86799,V DC,24/10/2022 8:33:54.3,4.8678,V DC,Interval,24/10/2022 8:33:55.3
7,4.8688,V DC,24/10/2022 8:33:55.3,0:00:01.0,24/10/2022 8:33:55.3,4.8688,V DC,4.86806,V DC,24/10/2022 8:33:55.5,4.8679,V DC,Interval,24/10/2022 8:33:56.3
8,4.868,V DC,24/10/2022 8:33:56.3,0:00:01.0,24/10/2022 8:33:56.3,4.868,V DC,4.86792,V DC,24/10/2022 8:33:56.4,4.8679,V DC,Interval,24/10/2022 8:33:57.3
9,4.8679,V DC,24/10/2022 8:33:57.3,0:00:01.0,24/10/2022 8:33:57.3,4.8679,V DC,4.86786,V DC,24/10/2022 8:33:57.5,4.8678,V DC,Interval,24/10/2022 8:33:58.3
10,4.8679,V DC,24/10/2022 8:33:58.3,0:00:01.0,24/10/2022 8:33:58.3,4.8679,V DC,4.86756,V DC,24/10/2022 8:33:59.1,4.8673,V DC,Interval,24/10/2022 8:33:59.3
11,4.8675,V DC,24/10/2022 8:33:59.3,0:00:01.0,24/10/2022 8:33:59.5,4.8677,V DC,4.86767,V DC,24/10/2022 8:33:59.3,4.8675,V DC,Interval,24/10/2022 8:34:00.3
12,4.8677,V DC,24/10/2022 8:34:00.3,0:00:01.0,24/10/2022 8:34:01.1,4.868,V DC,4.86783,V DC,24/10/2022 8:34:00.3,4.8677,V DC,Interval,24/10/2022 8:34:01.3
13,4.868,V DC,24/10/2022 8:34:01.3,0:00:01.1,24/10/2022 8:34:01.3,4.868,V DC,4.868,V DC,24/10/2022 8:34:01.3,4.868,V DC,Interval,24/10/2022 8:34:02.4
14,4.868,V DC,24/10/2022 8:34:02.4,0:00:00.8,24/10/2022 8:34:02.4,4.868,V DC,4.868,V DC,24/10/2022 8:34:02.4,4.868,V DC,Interval,24/10/2022 8:34:03.2
15,4.868,V DC,24/10/2022 8:34:03.2,0:00:01.0,24/10/2022 8:34:03.2,4.868,V DC,4.86795,V DC,24/10/2022 8:34:03.4,4.8679,V DC,Interval,24/10/2022 8:34:04.2
16,4.868,V DC,24/10/2022 8:34:04.2,0:00:01.0,24/10/2022 8:34:04.2,4.868,V DC,4.868,V DC,24/10/2022 8:34:04.2,4.868,V DC,Interval,24/10/2022 8:34:05.2
17,4.868,V DC,24/10/2022 8:34:05.2,0:00:01.0,24/10/2022 8:34:05.2,4.868,V DC,4.86797,V DC,24/10/2022 8:34:05.8,4.8679,V DC,Interval,24/10/2022 8:34:06.2
18,4.868,V DC,24/10/2022 8:34:06.2,0:00:01.0,24/10/2022 8:34:06.2,4.868,V DC,4.86797,V DC,24/10/2022 8:34:06.8,4.8679,V DC,Interval,24/10/2022 8:34:07.2
19,4.8679,V DC,24/10/2022 8:34:07.2,0:00:01.0,24/10/2022 8:34:07.2,4.8679,V DC,4.8679,V DC,24/10/2022 8:34:07.2,4.8679,V DC,Interval,24/10/2022 8:34:08.2
20,4.8679,V DC,24/10/2022 8:34:08.2,0:00:01.0,24/10/2022 8:34:08.2,4.8679,V DC,4.8679,V DC,24/10/2022 8:34:08.2,4.8679,V DC,Interval,24/10/2022 8:34:09.2
21,4.8678,V DC,24/10/2022 8:34:09.2,0:00:01.0,24/10/2022 8:34:09.3,4.8679,V DC,4.86789,V DC,24/10/2022 8:34:09.2,4.8678,V DC,Interval,24/10/2022 8:34:10.2
22,4.8679,V DC,24/10/2022 8:34:10.2,0:00:01.0,24/10/2022 8:34:10.2,4.8679,V DC,4.8679,V DC,24/10/2022 8:34:10.2,4.8679,V DC,Interval,24/10/2022 8:34:11.3
23,4.8679,V DC,24/10/2022 8:34:11.3,0:00:01.0,24/10/2022 8:34:12.0,4.868,V DC,4.86793,V DC,24/10/2022 8:34:11.3,4.8679,V DC,Interval,24/10/2022 8:34:12.3
24,4.868,V DC,24/10/2022 8:34:12.3,0:00:01.0,24/10/2022 8:34:12.3,4.868,V DC,4.86798,V DC,24/10/2022 8:34:13.1,4.8679,V DC,Interval,24/10/2022 8:34:13.3
25,4.8679,V DC,24/10/2022 8:34:13.3,0:00:01.0,24/10/2022 8:34:13.3,4.8679,V DC,4.8679,V DC,24/10/2022 8:34:13.3,4.8679,V DC,Interval,24/10/2022 8:34:14.3
26,4.8679,V DC,24/10/2022 8:34:14.3,0:00:01.0,24/10/2022 8:34:14.3,4.8679,V DC,4.8679,V DC,24/10/2022 8:34:14.3,4.8679,V DC,Interval,24/10/2022 8:34:15.3
27,4.8679,V DC,24/10/2022 8:34:15.3,0:00:01.0,24/10/2022 8:34:16.2,4.868,V DC,4.86791,V DC,24/10/2022 8:34:15.3,4.8679,V DC,Interval,24/10/2022 8:34:16.3
