FLUKE 289,  V1.16,  33850029

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,,Start Time,Duration,Max Time,Max,,Average,,Min Time,Min,,Description,Stop Time
1,4.8687,V DC,24/10/2022 8:42:34.2,0:00:00.4,24/10/2022 8:42:34.2,4.8687,V DC,4.8687,V DC,24/10/2022 8:42:34.2,4.8687,V DC,Interval,24/10/2022 8:42:34.6
2,4.8687,V DC,24/10/2022 8:42:34.6,0:00:01.0,24/10/2022 8:42:34.6,4.8687,V DC,4.8687,V DC,24/10/2022 8:42:34.6,4.8687,V DC,Interval,24/10/2022 8:42:35.6
3,4.8687,V DC,24/10/2022 8:42:35.6,0:00:01.0,24/10/2022 8:42:35.6,4.8687,V DC,4.8687,V DC,24/10/2022 8:42:35.6,4.8687,V DC,Interval,24/10/2022 8:42:36.6
4,4.8687,V DC,24/10/2022 8:42:36.6,0:00:01.0,24/10/2022 8:42:37.4,4.8688,V DC,4.86873,V DC,24/10/2022 8:42:36.6,4.8687,V DC,Interval,24/10/2022 8:42:37.7
5,4.8688,V DC,24/10/2022 8:42:37.7,0:00:01.0,24/10/2022 8:42:37.7,4.8688,V DC,4.86863,V DC,24/10/2022 8:42:38.3,4.8685,V DC,Interval,24/10/2022 8:42:38.7
6,4.8685,V DC,24/10/2022 8:42:38.7,0:00:01.0,24/10/2022 8:42:38.7,4.8685,V DC,4.86841,V DC,24/10/2022 8:42:38.8,4.8684,V DC,Interval,24/10/2022 8:42:39.7
7,4.8684,V DC,24/10/2022 8:42:39.7,0:00:01.0,24/10/2022 8:42:40.5,4.8685,V DC,4.86842,V DC,24/10/2022 8:42:39.7,4.8684,V DC,Interval,24/10/2022 8:42:40.7
8,4.8686,V DC,24/10/2022 8:42:40.7,0:00:01.0,24/10/2022 8:42:40.9,4.8687,V DC,4.8686,V DC,24/10/2022 8:42:41.4,4.8685,V DC,Interval,24/10/2022 8:42:41.7
9,4.8685,V DC,24/10/2022 8:42:41.7,0:00:01.0,24/10/2022 8:42:41.7,4.8685,V DC,4.86847,V DC,24/10/2022 8:42:42.1,4.8684,V DC,Interval,24/10/2022 8:42:42.7
10,4.8685,V DC,24/10/2022 8:42:42.7,0:00:01.0,24/10/2022 8:42:43.6,4.8688,V DC,4.86863,V DC,24/10/2022 8:42:42.7,4.8685,V DC,Interval,24/10/2022 8:42:43.7
11,4.8688,V DC,24/10/2022 8:42:43.7,0:00:01.0,24/10/2022 8:42:43.7,4.8688,V DC,4.8688,V DC,24/10/2022 8:42:43.7,4.8688,V DC,Interval,24/10/2022 8:42:44.7
12,4.8688,V DC,24/10/2022 8:42:44.7,0:00:01.0,24/10/2022 8:42:44.7,4.8688,V DC,4.86877,V DC,24/10/2022 8:42:45.4,4.8687,V DC,Interval,24/10/2022 8:42:45.7
13,4.8686,V DC,24/10/2022 8:42:45.7,0:00:01.1,24/10/2022 8:42:45.7,4.8686,V DC,4.8685,V DC,24/10/2022 8:42:46.2,4.8684,V DC,Interval,24/10/2022 8:42:46.8
14,4.8684,V DC,24/10/2022 8:42:46.8,0:00:00.9,24/10/2022 8:42:46.9,4.8685,V DC,4.86844444444445,V DC,24/10/2022 8:42:46.8,4.8684,V DC,Interval,24/10/2022 8:42:47.7
15,4.8684,V DC,24/10/2022 8:42:47.7,0:00:01.0,24/10/2022 8:42:47.7,4.8684,V DC,4.8684,V DC,24/10/2022 8:42:47.7,4.8684,V DC,Interval,24/10/2022 8:42:48.7
16,4.8684,V DC,24/10/2022 8:42:48.7,0:00:00.9,24/10/2022 8:42:49.5,4.8687,V DC,4.86852222222222,V DC,24/10/2022 8:42:48.7,4.8684,V DC,Interval,24/10/2022 8:42:49.6
17,4.8687,V DC,24/10/2022 8:42:49.6,0:00:01.0,24/10/2022 8:42:50.1,4.8688,V DC,4.86875,V DC,24/10/2022 8:42:49.6,4.8687,V DC,Interval,24/10/2022 8:42:50.6
18,4.8688,V DC,24/10/2022 8:42:50.6,0:00:01.0,24/10/2022 8:42:50.6,4.8688,V DC,4.8688,V DC,24/10/2022 8:42:50.6,4.8688,V DC,Interval,24/10/2022 8:42:51.6
19,4.8688,V DC,24/10/2022 8:42:51.6,0:00:01.0,24/10/2022 8:42:52.1,4.8689,V DC,4.86885,V DC,24/10/2022 8:42:51.6,4.8688,V DC,Interval,24/10/2022 8:42:52.6
20,4.8689,V DC,24/10/2022 8:42:52.6,0:00:01.0,24/10/2022 8:42:53.2,4.869,V DC,4.86892,V DC,24/10/2022 8:42:52.6,4.8689,V DC,Interval,24/10/2022 8:42:53.7
21,4.8689,V DC,24/10/2022 8:42:53.7,0:00:01.0,24/10/2022 8:42:54.4,4.869,V DC,4.86892,V DC,24/10/2022 8:42:53.7,4.8689,V DC,Interval,24/10/2022 8:42:54.7
22,4.869,V DC,24/10/2022 8:42:54.7,0:00:01.0,24/10/2022 8:42:54.7,4.869,V DC,4.86891,V DC,24/10/2022 8:42:54.8,4.8689,V DC,Interval,24/10/2022 8:42:55.7
