Start Time;current;voltage
2022-10-21 08:55:13.400;0.007412;4.78082
2022-10-21 08:55:13.900;0.007412;4.78087
2022-10-21 08:55:14.800;0.007412;4.780755
2022-10-21 08:55:14.900;0.00744705;4.78064
2022-10-21 08:55:15.000;0.0074821;4.780603333333335
2022-10-21 08:55:15.900;0.0075213;4.78056666666667
2022-10-21 08:55:16.000;0.0075605;4.780503333333335
2022-10-21 08:55:16.800;0.0075511;4.78044
2022-10-21 08:55:17.000;0.0075417;4.780469999999999
2022-10-21 08:55:17.900;0.0074898;4.7805
2022-10-21 08:55:18.000;0.0074379;4.780575
2022-10-21 08:55:18.900;0.00744935;4.78065
2022-10-21 08:55:19.000;0.0074608;4.78054
2022-10-21 08:55:19.900;0.00749855;4.78043
2022-10-21 08:55:20.000;0.0075363;4.7804
2022-10-21 08:55:20.900;0.00751265;4.78037
2022-10-21 08:55:21.000;0.007489;4.780405
2022-10-21 08:55:21.900;0.007444849999999999;4.78044
2022-10-21 08:55:22.000;0.0074007;4.7804199999999994
2022-10-21 08:55:22.900;0.0074608;4.7804
2022-10-21 08:55:23.100;0.0075209;4.78041
2022-10-21 08:55:23.900;0.00756065;4.78042
2022-10-21 08:55:24.100;0.0076004;4.780545714285715
2022-10-21 08:55:24.900;0.00756115;4.78067142857143
2022-10-21 08:55:25.100;0.0075219;4.78073015873016
2022-10-21 08:55:26.000;0.00749133888888885;4.78078888888889
2022-10-21 08:55:26.100;0.0074607777777777;4.780749444444445
2022-10-21 08:55:26.900;0.00751778888888885;4.78071
2022-10-21 08:55:27.000;0.0075748;4.780745
2022-10-21 08:55:27.900;0.00759565;4.78078
2022-10-21 08:55:28.000;0.0076165;4.7807949999999995
2022-10-21 08:55:28.900;0.0075420999999999995;4.78081
2022-10-21 08:55:29.000;0.0074677;4.780805
2022-10-21 08:55:29.900;0.0074526;4.7808
2022-10-21 08:55:30.000;0.0074375;4.78085
2022-10-21 08:55:30.900;0.007482849999999999;4.7809
2022-10-21 08:55:31.000;0.0075282;4.780866666666665
2022-10-21 08:55:31.900;0.0075451500000000005;4.78083333333333
2022-10-21 08:55:32.000;0.0075621;4.780786666666665
2022-10-21 08:55:32.800;0.00751615;4.78074
2022-10-21 08:55:33.000;0.0074702;4.78076
2022-10-21 08:55:33.900;0.00746895;4.78078
2022-10-21 08:55:34.000;0.0074677;4.780810000000001
2022-10-21 08:55:34.900;0.0074934;4.78084
2022-10-21 08:55:35.000;0.0075191;4.780865
2022-10-21 08:55:35.900;0.00752485;4.78089
2022-10-21 08:55:36.000;0.0075306;4.78087
2022-10-21 08:55:36.900;0.0074681;4.78085
2022-10-21 08:55:37.000;0.0074056;4.7808583333333345
2022-10-21 08:55:37.900;0.0074183;4.78086666666667
2022-10-21 08:55:38.000;0.007431;4.780883333333335
2022-10-21 08:55:38.900;0.00747135;4.7809
2022-10-21 08:55:39.000;0.0075117;4.780905000000001
2022-10-21 08:55:39.900;0.0075092;4.78091
2022-10-21 08:55:40.100;0.0075067;4.78088
2022-10-21 08:55:40.900;0.00746835;4.78085
2022-10-21 08:55:41.100;0.00743;4.780885
2022-10-21 08:55:41.900;0.00746595;4.78092
2022-10-21 08:55:42.100;0.0075019;4.78094
2022-10-21 08:55:42.900;0.00751622777777775;4.78096
2022-10-21 08:55:43.100;0.0075305555555555;4.780975
2022-10-21 08:55:43.900;0.007509727777777749;4.78099
2022-10-21 08:55:44.000;0.0074889;4.780945
2022-10-21 08:55:44.900;0.0074435000000000005;4.7809
2022-10-21 08:55:45.000;0.0073981;4.78077
2022-10-21 08:55:45.900;0.0074383999999999995;4.78064
2022-10-21 08:55:46.000;0.0074787;4.78062
2022-10-21 08:55:46.900;0.0075292;4.7806
2022-10-21 08:55:47.000;0.0075797;4.7806
2022-10-21 08:55:47.900;0.0075495;4.7806
2022-10-21 08:55:48.000;0.0075193;4.78082777777778
2022-10-21 08:55:48.900;0.00746775;4.78105555555556
2022-10-21 08:55:49.000;0.0074162;4.78095
2022-10-21 08:55:49.800;0.007465350000000001;4.78084444444444
2022-10-21 08:55:50.000;0.0075145;4.780905820105817
2022-10-21 08:55:51.000;0.0076362;4.780967195767193
2022-10-21 08:55:51.200;0.007596;4.78102857142857
2022-10-21 08:55:51.900;0.0075558;4.78119
2022-10-21 08:55:52.000;0.0075156;4.781135
2022-10-21 08:55:52.900;0.007481949999999999;4.78108
2022-10-21 08:55:53.000;0.0074483;4.780945
2022-10-21 08:55:53.900;0.0074937;4.78081
2022-10-21 08:55:54.000;0.0075391;4.78071
2022-10-21 08:55:54.900;0.0075559;4.78061
2022-10-21 08:55:55.000;0.0075727;4.78065
2022-10-21 08:55:55.900;0.00750695;4.78069
2022-10-21 08:55:56.000;0.0074412;4.78059
2022-10-21 08:55:56.900;0.0074541;4.78049
2022-10-21 08:55:57.100;0.007467;4.78052
2022-10-21 08:55:57.900;0.0075125;4.78055
2022-10-21 08:55:58.100;0.007558;4.780654999999999
2022-10-21 08:55:58.900;0.0075679;4.78076
2022-10-21 08:55:59.100;0.0075778;4.780875
2022-10-21 08:55:59.900;0.007521177777777751;4.78099
2022-10-21 08:56:00.100;0.0074645555555555;4.78104
2022-10-21 08:56:00.900;0.00746387777777775;4.78109
2022-10-21 08:56:01.000;0.0074632;4.78112
2022-10-21 08:56:01.900;0.00749545;4.78115
2022-10-21 08:56:02.000;0.0075277;4.781116666666665
2022-10-21 08:56:02.900;0.0075327;4.78108333333333
2022-10-21 08:56:03.000;0.0075377;4.781041666666665
2022-10-21 08:56:03.900;0.00748625;4.781
2022-10-21 08:56:04.000;0.0074348;4.781235
2022-10-21 08:56:04.900;0.0074452500000000005;4.78147
2022-10-21 08:56:05.000;0.0074557;4.781318333333335
2022-10-21 08:56:05.900;0.0074836;4.78116666666667
2022-10-21 08:56:06.000;0.0075115;4.781258333333335
2022-10-21 08:56:06.800;0.007503849999999999;4.78135
2022-10-21 08:56:07.000;0.0074962;4.7816849999999995
2022-10-21 08:56:07.900;0.0074611;4.78202
2022-10-21 08:56:08.000;0.007426;4.778855
2022-10-21 08:56:08.900;0.008038;4.77569
2022-10-21 08:56:09.900;0.00865;4.75175
2022-10-21 08:56:10.900;0.017725;4.7435
2022-10-21 08:56:11.800;0.023691;4.744619999999999
2022-10-21 08:56:11.900;0.02109175;4.74574
2022-10-21 08:56:12.800;0.0184925;4.74484
2022-10-21 08:56:12.900;0.018396666666666665;4.74394
2022-10-21 08:56:13.900;0.018300833333333332;4.74234
2022-10-21 08:56:14.000;0.018205;4.743425
2022-10-21 08:56:14.900;0.020066;4.74451
2022-10-21 08:56:15.000;0.021927;4.74309
2022-10-21 08:56:16.000;0.023788;4.74167
2022-10-21 08:56:16.300;0.0228165;4.74025
2022-10-21 08:56:16.800;0.021845;4.7434449999999995
2022-10-21 08:56:16.900;0.02194116666666665;4.74664
2022-10-21 08:56:17.700;0.0220373333333333;4.7477800000000006
2022-10-21 08:56:17.900;0.01926966666666665;4.74892
2022-10-21 08:56:18.900;0.016502;4.74848
2022-10-21 08:56:19.900;0.014436;4.7354
2022-10-21 08:56:20.800;0.021686;4.741494444444445
2022-10-21 08:56:20.900;0.020687;4.74758888888889
2022-10-21 08:56:21.800;0.019688;4.74409
2022-10-21 08:56:21.900;0.018689;4.742604999999999
2022-10-21 08:56:22.900;0.017091;4.74112
2022-10-21 08:56:23.800;0.021847;4.7448049999999995
2022-10-21 08:56:23.900;0.0203575;4.74849
2022-10-21 08:56:24.900;0.018868;4.74225
2022-10-21 08:56:25.900;0.018612;4.74699
2022-10-21 08:56:26.900;0.017048;4.74229
2022-10-21 08:56:27.900;0.021427;4.74276666666667
2022-10-21 08:56:28.900;0.023805;4.74755
2022-10-21 08:56:29.900;0.019917;4.74517
2022-10-21 08:56:30.700;0.0236743333333333;4.7476199999999995
2022-10-21 08:56:30.900;0.020356555555555534;4.75007
2022-10-21 08:56:31.900;0.017038777777777767;4.73595
2022-10-21 08:56:32.000;0.013721;4.739375
2022-10-21 08:56:32.900;0.0172885;4.7428
2022-10-21 08:56:33.000;0.020856;4.742515
2022-10-21 08:56:33.900;0.0223565;4.74223
2022-10-21 08:56:34.000;0.023857;4.744065
2022-10-21 08:56:34.900;0.0224975;4.7459
2022-10-21 08:56:35.000;0.021138;4.744936666666667
2022-10-21 08:56:35.800;0.023726;4.743973333333333
2022-10-21 08:56:35.900;0.023224;4.74301
2022-10-21 08:56:36.900;0.022722;4.74814444444444
2022-10-21 08:56:37.800;0.0219865;4.74016
2022-10-21 08:56:37.900;0.021251;4.743785000000001
2022-10-21 08:56:38.800;0.0238025;4.74741
2022-10-21 08:56:39.800;0.0218435;4.745995000000001
2022-10-21 08:56:39.900;0.02258441666666665;4.74458
2022-10-21 08:56:40.700;0.0233253333333333;4.742165
2022-10-21 08:56:40.900;0.023596666666666648;4.73975
2022-10-21 08:56:41.900;0.023868;4.7445
2022-10-21 08:56:42.800;0.0235545;4.74813
2022-10-21 08:56:42.900;0.01944425;4.75176
2022-10-21 08:56:43.900;0.015334;4.73676
2022-10-21 08:56:44.900;0.021738;4.74389
2022-10-21 08:56:45.500;0.0216498;4.742190000000001
2022-10-21 08:56:45.900;0.0226454;4.74049
2022-10-21 08:56:46.900;0.023641;4.74764
2022-10-21 08:56:47.900;0.018042;4.73958
2022-10-21 08:56:48.900;0.020014999999999998;4.74358
2022-10-21 08:56:49.000;0.021988;4.744085
2022-10-21 08:56:49.900;0.020965;4.74459
2022-10-21 08:56:50.900;0.021873;4.74521
2022-10-21 08:56:51.000;0.022781;4.74629
2022-10-21 08:56:51.900;0.0222385;4.74737
2022-10-21 08:56:52.000;0.021696;4.74670380952381
2022-10-21 08:56:52.100;0.0213694444444444;4.746037619047621
2022-10-21 08:56:52.900;0.0225257222222222;4.74537142857143
2022-10-21 08:56:53.900;0.023682;4.743685714285715
2022-10-21 08:56:54.000;0.023534333333333334;4.742
2022-10-21 08:56:54.800;0.023386666666666667;4.7433
2022-10-21 08:56:54.900;0.023239;4.743539999999999
2022-10-21 08:56:55.800;0.0240615;4.74378
2022-10-21 08:56:55.900;0.022712916666666652;4.74402
2022-10-21 08:56:56.700;0.0213643333333333;4.7440750000000005
2022-10-21 08:56:56.900;0.02154216666666665;4.74413
2022-10-21 08:56:57.800;0.02172;4.746745000000001
2022-10-21 08:56:57.900;0.021037;4.74936
2022-10-21 08:56:58.900;0.020354;4.74012
2022-10-21 08:56:59.300;0.021801;4.74264
2022-10-21 08:56:59.900;0.022854;4.74516
2022-10-21 08:57:00.900;0.023907;4.74578
2022-10-21 08:57:01.900;0.022035;4.75645
2022-10-21 08:57:02.900;0.011017;4.78014
2022-10-21 08:57:03.200;0.00767175;4.779755
2022-10-21 08:57:03.900;0.007625175;4.77937
2022-10-21 08:57:04.000;0.0075786;4.779920000000001
2022-10-21 08:57:04.900;0.0075139;4.78047
2022-10-21 08:57:05.000;0.0074492;4.780201666666665
2022-10-21 08:57:05.900;0.0074657;4.77993333333333
2022-10-21 08:57:06.100;0.0074822;4.779821666666665
2022-10-21 08:57:06.900;0.007519649999999999;4.77971
2022-10-21 08:57:07.100;0.0075571;4.7798
2022-10-21 08:57:07.900;0.0075569;4.77989
2022-10-21 08:57:08.100;0.0075567;4.779845
2022-10-21 08:57:08.900;0.00750251666666665;4.7798
2022-10-21 08:57:09.100;0.0074483333333333;4.779795
2022-10-21 08:57:09.900;0.00745251666666665;4.77979
2022-10-21 08:57:10.000;0.0074567;4.77992277777778
2022-10-21 08:57:10.900;0.007492250000000001;4.78005555555556
2022-10-21 08:57:11.000;0.0075278;4.7799577777777795
2022-10-21 08:57:11.800;0.00751845;4.77986
2022-10-21 08:57:12.000;0.0075091;4.77985
2022-10-21 08:57:12.900;0.00747565;4.77984
2022-10-21 08:57:13.000;0.0074422;4.7798099999999994
2022-10-21 08:57:13.900;0.00748675;4.77978
2022-10-21 08:57:14.000;0.0075313;4.779845
2022-10-21 08:57:14.900;0.007555350000000001;4.77991
2022-10-21 08:57:15.000;0.0075794;4.7798750000000005
2022-10-21 08:57:15.900;0.00750665;4.77984
2022-10-21 08:57:16.000;0.0074339;4.7798300000000005
2022-10-21 08:57:16.900;0.00741935;4.77982
2022-10-21 08:57:17.000;0.0074048;4.779804444444445
2022-10-21 08:57:17.900;0.0074623;4.77978888888889
2022-10-21 08:57:18.000;0.0075198;4.77978306878307
2022-10-21 08:57:19.000;0.0075613;4.7797772486772505
2022-10-21 08:57:19.200;0.0075205666666666665;4.77977142857143
2022-10-21 08:57:19.900;0.007479833333333333;4.77987
2022-10-21 08:57:20.000;0.0074391;4.779885
2022-10-21 08:57:20.900;0.00745045;4.7799
2022-10-21 08:57:21.000;0.0074618;4.779915
2022-10-21 08:57:21.900;0.0075143499999999995;4.77993
2022-10-21 08:57:22.000;0.0075669;4.779920000000001
2022-10-21 08:57:22.900;0.00757155;4.77991
2022-10-21 08:57:23.100;0.0075762;4.7803249999999995
2022-10-21 08:57:23.900;0.0075292;4.78074
2022-10-21 08:57:24.100;0.0074822;4.78055
2022-10-21 08:57:24.900;0.0075075;4.78036
2022-10-21 08:57:25.100;0.0075328;4.780335
2022-10-21 08:57:25.900;0.0075345111111111;4.78031
2022-10-21 08:57:26.100;0.0075362222222222;4.7802605555555555
2022-10-21 08:57:26.900;0.0075552611111111;4.78021111111111
