time; timestamp; t_delta; target; angle
05/30/2022, 09:50:18; 1653897018.7174006; 10.078994750976562; 0.667614; 0.667614
05/30/2022, 09:50:28; 1653897028.7949388; 20.156533002853394; 1.335227; 1.321023
05/30/2022, 09:50:38; 1653897038.8743985; 30.235992670059204; 2.002841; 1.988636
05/30/2022, 09:50:48; 1653897048.9522483; 40.31384253501892; 2.684659; 2.670454
05/30/2022, 09:50:59; 1653897059.0304005; 50.39199471473694; 3.352273; 3.352273
05/30/2022, 09:51:09; 1653897069.1065385; 60.468132734298706; 4.019886; 4.005682
05/30/2022, 09:51:19; 1653897079.1849127; 70.54650688171387; 4.701705; 4.715909
05/30/2022, 09:51:29; 1653897089.5064917; 80.86808586120605; 5.383523; 5.383522
05/30/2022, 09:51:39; 1653897099.5853975; 90.94699168205261; 6.051136; 6.036932
05/30/2022, 09:51:49; 1653897109.6621442; 101.02373838424683; 6.732955; 6.732954
05/30/2022, 09:51:59; 1653897119.7405071; 111.10210132598877; 7.400568; 7.386363
05/30/2022, 09:52:09; 1653897129.8189301; 121.18052434921265; 8.068182; 8.068182
05/30/2022, 09:52:19; 1653897139.8982515; 131.25984573364258; 8.75; 8.75
05/30/2022, 09:52:29; 1653897149.9748285; 141.33642268180847; 9.417614; 9.403409
05/30/2022, 09:52:40; 1653897160.0533237; 151.41491794586182; 10.085227; 10.071023
05/30/2022, 09:52:50; 1653897170.1354766; 161.49707078933716; 10.752841; 10.738636
05/30/2022, 09:53:00; 1653897180.2149124; 171.57650661468506; 11.434659; 11.420455
05/30/2022, 09:53:10; 1653897190.2976956; 181.65928983688354; 12.102273; 12.102273
05/30/2022, 09:53:20; 1653897200.3772728; 191.73886704444885; 12.769886; 12.755682
05/30/2022, 09:53:30; 1653897210.4601686; 201.82176280021667; 13.451705; 13.451705
05/30/2022, 09:53:40; 1653897220.539429; 211.90102314949036; 14.119318; 14.105114
05/30/2022, 09:53:50; 1653897230.6201394; 221.98173356056213; 14.786932; 14.772727
05/30/2022, 09:54:00; 1653897240.7054093; 232.06700348854065; 15.46875; 15.46875
05/30/2022, 09:54:10; 1653897250.7892268; 242.15082097053528; 16.136364; 16.136363
05/30/2022, 09:54:20; 1653897260.8707392; 252.23233342170715; 16.803977; 16.789772
05/30/2022, 09:54:30; 1653897270.9510546; 262.31264877319336; 17.485795; 17.485795
05/30/2022, 09:54:41; 1653897281.0339098; 272.39550399780273; 18.153409; 18.139204
