timestamp,uptimeInS,bootCount,lastResetCause,powerAmplifierTemperature,quartzTemperature,isTxOn,lastSyncRssi,averageSyncRssi,lastPacketRssi,averagePacketRssi,environmentRssi,txPacketCounter,txByteCounter,rxPacketCounter,rxByteCounter,badCrcCounter,beaconTxCounter,gsWdtTimeLeftInS,
978911918,1319,484,201326592,30,31,1,32768,32768,32768,32768,-132,117,10920,0,0,0,39,71731,
978911923,1325,484,201326592,30,31,1,32768,32768,32768,32768,-130,117,10920,0,0,0,39,71725,
978911928,1330,484,201326592,30,31,1,32768,32768,32768,32768,-130,117,10920,0,0,0,39,71720,
978911934,1335,484,201326592,30,31,1,32768,32768,32768,32768,-127,119,11108,0,0,0,40,71715,
978911939,1340,484,201326592,30,31,1,32768,32768,32768,32768,-131,120,11200,0,0,0,40,71710,
978911944,1345,484,201326592,30,31,1,32768,32768,32768,32768,-133,120,11200,0,0,0,40,71705,
978911949,1350,484,201326592,30,31,1,32768,32768,32768,32768,-132,120,11200,0,0,0,40,71700,
978911954,1355,484,201326592,30,31,1,32768,32768,32768,32768,-132,120,11200,0,0,0,40,71695,
978911959,1360,484,201326592,30,31,1,32768,32768,32768,32768,-131,120,11200,0,0,0,40,71690,
978911964,1365,484,201326592,30,31,1,32768,32768,32768,32768,-126,121,11294,0,0,0,41,71685,
978911970,1371,484,201326592,30,31,1,32768,32768,32768,32768,-132,123,11480,0,0,0,41,71679,
978911975,1376,484,201326592,30,31,1,32768,32768,32768,32768,-130,123,11480,0,0,0,41,71674,
978911980,1381,484,201326592,30,31,1,32768,32768,32768,32768,-131,123,11480,0,0,0,41,71669,
978911985,1386,484,201326592,30,31,1,32768,32768,32768,32768,-129,123,11480,0,0,0,41,71664,
978911990,1391,484,201326592,30,31,1,32768,32768,32768,32768,-129,123,11480,0,0,0,41,71659,
978911995,1396,484,201326592,30,31,1,32768,32768,32768,32768,-129,124,11574,0,0,0,42,71654,
978912000,1402,484,201326592,30,31,1,32768,32768,32768,32768,-131,126,11760,0,0,0,42,71649,
978912005,1407,484,201326592,30,31,1,32768,32768,32768,32768,-131,126,11760,0,0,0,42,71643,
978912011,1412,484,201326592,30,31,1,32768,32768,32768,32768,-129,126,11760,0,0,0,42,71638,
978912016,1417,484,201326592,30,31,1,32768,32768,32768,32768,-134,126,11760,0,0,0,42,71633,
978912021,1422,484,201326592,30,31,1,32768,32768,32768,32768,-132,126,11760,0,0,0,42,71628,
978912026,1427,484,201326592,30,31,1,32768,32768,32768,32768,-133,126,11760,0,0,0,42,71623,
978912031,1432,484,201326592,30,31,1,32768,32768,32768,32768,-130,129,12040,0,0,0,43,71618,
978912036,1437,484,201326592,30,31,1,32768,32768,32768,32768,-131,129,12040,0,0,0,43,71613,
978912041,1442,484,201326592,30,31,1,32768,32768,32768,32768,-129,129,12040,0,0,0,43,71608,
978912046,1447,484,201326592,30,31,1,32768,32768,32768,32768,-129,129,12040,0,0,0,43,71603,
978912051,1453,484,201326592,30,31,1,32768,32768,32768,32768,-131,129,12040,0,0,0,43,71598,
978912056,1458,484,201326592,30,31,1,32768,32768,32768,32768,-130,129,12040,0,0,0,43,71592,
978912062,1463,484,201326592,30,31,1,32768,32768,32768,32768,-132,132,12320,0,0,0,44,71587,
978912067,1468,484,201326592,30,31,1,32768,32768,32768,32768,-132,132,12320,0,0,0,44,71582,
978912072,1473,484,201326592,30,31,1,32768,32768,32768,32768,-132,132,12320,0,0,0,44,71577,
978912077,1478,484,201326592,30,31,1,32768,32768,32768,32768,-130,132,12320,0,0,0,44,71572,
978912082,1483,484,201326592,30,31,1,32768,32768,32768,32768,-132,132,12320,0,0,0,44,71567,
978912087,1488,484,201326592,30,31,1,32768,32768,32768,32768,-131,132,12320,0,0,0,44,71562,
978912092,1493,484,201326592,31,31,1,32768,32768,32768,32768,-130,135,12600,0,0,0,45,71557,
978912097,1498,484,201326592,30,31,1,32768,32768,32768,32768,-131,135,12600,0,0,0,45,71552,
978912102,1504,484,201326592,30,31,1,32768,32768,32768,32768,-133,135,12600,0,0,0,45,71547,
978912107,1509,484,201326592,30,31,1,32768,32768,32768,32768,-133,135,12600,0,0,0,45,71541,
978912113,1514,484,201326592,30,31,1,32768,32768,32768,32768,-129,135,12600,0,0,0,45,71536,
978912118,1519,484,201326592,30,31,1,32768,32768,32768,32768,-133,135,12600,0,0,0,45,71531,
978912123,1524,484,201326592,31,31,1,32768,32768,32768,32768,-131,138,12880,0,0,0,46,71526,
978912128,1529,484,201326592,30,31,1,32768,32768,32768,32768,-129,138,12880,0,0,0,46,71521,
978912133,1534,484,201326592,30,31,1,32768,32768,32768,32768,-132,138,12880,0,0,0,46,71516,
978912138,1539,484,201326592,30,31,1,32768,32768,32768,32768,-130,138,12880,0,0,0,46,71511,
978912143,1544,484,201326592,30,31,1,32768,32768,32768,32768,-129,138,12880,0,0,0,46,71506,
978912148,1549,484,201326592,30,31,1,32768,32768,32768,32768,-131,138,12880,0,0,0,46,71501,
978912153,1555,484,201326592,31,31,1,32768,32768,32768,32768,-130,141,13160,0,0,0,47,71496,
978912158,1560,484,201326592,31,31,1,32768,32768,32768,32768,-130,141,13160,0,0,0,47,71490,
978912164,1565,484,201326592,30,31,1,32768,32768,32768,32768,-129,141,13160,0,0,0,47,71485,
978912169,1570,484,201326592,30,31,1,32768,32768,32768,32768,-129,141,13160,0,0,0,47,71480,
978912174,1575,484,201326592,30,31,1,32768,32768,32768,32768,-131,141,13160,0,0,0,47,71475,
978912179,1580,484,201326592,30,31,1,32768,32768,32768,32768,-130,141,13160,0,0,0,47,71470,
978912184,1585,484,201326592,31,31,1,32768,32768,32768,32768,-129,144,13440,0,0,0,48,71465,
978912189,1590,484,201326592,31,31,1,32768,32768,32768,32768,-130,144,13440,0,0,0,48,71460,
978912194,1595,484,201326592,31,31,1,32768,32768,32768,32768,-131,144,13440,0,0,0,48,71455,
