FLUKE 289,  V1.16,  32940021

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,,Start Time,Duration,Max Time,Max,,Average,,Min Time,Min,,Description,Stop Time
1,0.007457,A AC,21/10/2022 9:58:11.7,0:00:00.2,21/10/2022 9:58:11.7,0.007457,A AC,0.007454,A AC,21/10/2022 9:58:11.8,0.007451,A AC,Interval,21/10/2022 9:58:12.0
2,0.007436,A AC,21/10/2022 9:58:12.0,0:00:01.0,21/10/2022 9:58:12.9,0.00749,A AC,0.0074414,A AC,21/10/2022 9:58:12.2,0.007415,A AC,Interval,21/10/2022 9:58:13.0
3,0.007503,A AC,21/10/2022 9:58:13.0,0:00:01.0,21/10/2022 9:58:13.9,0.007609,A AC,0.0075695,A AC,21/10/2022 9:58:13.0,0.007503,A AC,Interval,21/10/2022 9:58:14.0
4,0.007613,A AC,21/10/2022 9:58:14.0,0:00:01.0,21/10/2022 9:58:14.3,0.007653,A AC,0.0076278,A AC,21/10/2022 9:58:14.9,0.007586,A AC,Interval,21/10/2022 9:58:15.0
5,0.00756,A AC,21/10/2022 9:58:15.0,0:00:01.0,21/10/2022 9:58:15.0,0.00756,A AC,0.0075077,A AC,21/10/2022 9:58:15.9,0.007462,A AC,Interval,21/10/2022 9:58:16.0
6,0.007471,A AC,21/10/2022 9:58:16.0,0:00:01.0,21/10/2022 9:58:16.9,0.007581,A AC,0.0075155,A AC,21/10/2022 9:58:16.0,0.007471,A AC,Interval,21/10/2022 9:58:17.0
7,0.007593,A AC,21/10/2022 9:58:17.0,0:00:00.9,21/10/2022 9:58:17.8,0.00764,A AC,0.00761444444444444,A AC,21/10/2022 9:58:17.0,0.007593,A AC,Interval,21/10/2022 9:58:17.9
8,0.007658,A AC,21/10/2022 9:58:17.9,0:00:01.0,21/10/2022 9:58:18.0,0.007666,A AC,0.0076396,A AC,21/10/2022 9:58:18.8,0.007581,A AC,Interval,21/10/2022 9:58:18.9
9,0.00757,A AC,21/10/2022 9:58:18.9,0:00:01.0,21/10/2022 9:58:18.9,0.00757,A AC,0.0075008,A AC,21/10/2022 9:58:19.7,0.00744,A AC,Interval,21/10/2022 9:58:19.9
10,0.007449,A AC,21/10/2022 9:58:19.9,0:00:01.0,21/10/2022 9:58:20.8,0.007579,A AC,0.0075177,A AC,21/10/2022 9:58:19.9,0.007449,A AC,Interval,21/10/2022 9:58:20.9
