FLUKE 289,  V1.16,  33850029

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,,Start Time,Duration,Max Time,Max,,Average,,Min Time,Min,,Description,Stop Time
1,4.8368,V DC,21/10/2022 9:02:47.1,0:00:00.4,21/10/2022 9:02:47.4,4.8369,V DC,4.8368,V DC,21/10/2022 9:02:47.3,4.8367,V DC,Interval,21/10/2022 9:02:47.5
2,4.8369,V DC,21/10/2022 9:02:47.5,0:00:01.0,21/10/2022 9:02:47.5,4.8369,V DC,4.8367,V DC,21/10/2022 9:02:48.4,4.8365,V DC,Interval,21/10/2022 9:02:48.5
3,4.8365,V DC,21/10/2022 9:02:48.5,0:00:01.0,21/10/2022 9:02:48.6,4.8366,V DC,4.83657,V DC,21/10/2022 9:02:48.5,4.8365,V DC,Interval,21/10/2022 9:02:49.5
4,4.8366,V DC,21/10/2022 9:02:49.5,0:00:01.0,21/10/2022 9:02:50.4,4.8382,V DC,4.83678,V DC,21/10/2022 9:02:49.6,4.8365,V DC,Interval,21/10/2022 9:02:50.6
5,4.8364,V DC,21/10/2022 9:02:50.6,0:00:01.0,21/10/2022 9:02:51.1,4.8366,V DC,4.83652,V DC,21/10/2022 9:02:50.6,4.8364,V DC,Interval,21/10/2022 9:02:51.6
6,4.8367,V DC,21/10/2022 9:02:51.6,0:00:01.0,21/10/2022 9:02:52.0,4.837,V DC,4.83688,V DC,21/10/2022 9:02:51.6,4.8367,V DC,Interval,21/10/2022 9:02:52.6
7,4.8369,V DC,21/10/2022 9:02:52.6,0:00:01.0,21/10/2022 9:02:53.1,4.837,V DC,4.8369,V DC,21/10/2022 9:02:52.8,4.8368,V DC,Interval,21/10/2022 9:02:53.6
8,4.8368,V DC,21/10/2022 9:02:53.6,0:00:01.0,21/10/2022 9:02:53.6,4.8368,V DC,4.83678,V DC,21/10/2022 9:02:53.8,4.8367,V DC,Interval,21/10/2022 9:02:54.6
9,4.8367,V DC,21/10/2022 9:02:54.6,0:00:01.0,21/10/2022 9:02:54.7,4.8368,V DC,4.83678,V DC,21/10/2022 9:02:54.6,4.8367,V DC,Interval,21/10/2022 9:02:55.6
10,4.8368,V DC,21/10/2022 9:02:55.6,0:00:01.0,21/10/2022 9:02:55.6,4.8368,V DC,4.8368,V DC,21/10/2022 9:02:55.6,4.8368,V DC,Interval,21/10/2022 9:02:56.6
11,4.8368,V DC,21/10/2022 9:02:56.6,0:00:00.9,21/10/2022 9:02:56.6,4.8368,V DC,4.8368,V DC,21/10/2022 9:02:56.6,4.8368,V DC,Interval,21/10/2022 9:02:57.5
12,4.8368,V DC,21/10/2022 9:02:57.5,0:00:01.0,21/10/2022 9:02:57.9,4.8369,V DC,4.83686,V DC,21/10/2022 9:02:57.5,4.8368,V DC,Interval,21/10/2022 9:02:58.5
13,4.8369,V DC,21/10/2022 9:02:58.5,0:00:01.2,21/10/2022 9:02:58.5,4.8369,V DC,4.8369,V DC,21/10/2022 9:02:58.5,4.8369,V DC,Interval,21/10/2022 9:02:59.7
14,4.8369,V DC,21/10/2022 9:02:59.7,0:00:00.8,21/10/2022 9:02:59.7,4.8369,V DC,4.8369,V DC,21/10/2022 9:02:59.7,4.8369,V DC,Interval,21/10/2022 9:03:00.5
15,4.8369,V DC,21/10/2022 9:03:00.5,0:00:01.0,21/10/2022 9:03:00.5,4.8369,V DC,4.8369,V DC,21/10/2022 9:03:00.5,4.8369,V DC,Interval,21/10/2022 9:03:01.5
16,4.8369,V DC,21/10/2022 9:03:01.5,0:00:01.0,21/10/2022 9:03:01.6,4.837,V DC,4.83692,V DC,21/10/2022 9:03:01.5,4.8369,V DC,Interval,21/10/2022 9:03:02.5
17,4.8369,V DC,21/10/2022 9:03:02.5,0:00:01.0,21/10/2022 9:03:02.5,4.8369,V DC,4.83684,V DC,21/10/2022 9:03:02.6,4.8368,V DC,Interval,21/10/2022 9:03:03.5
18,4.8369,V DC,21/10/2022 9:03:03.5,0:00:01.0,21/10/2022 9:03:03.5,4.8369,V DC,4.83683,V DC,21/10/2022 9:03:03.8,4.8368,V DC,Interval,21/10/2022 9:03:04.5
19,4.8368,V DC,21/10/2022 9:03:04.5,0:00:01.0,21/10/2022 9:03:04.6,4.8369,V DC,4.83687,V DC,21/10/2022 9:03:04.5,4.8368,V DC,Interval,21/10/2022 9:03:05.5
20,4.8369,V DC,21/10/2022 9:03:05.5,0:00:01.0,21/10/2022 9:03:05.5,4.8369,V DC,4.8369,V DC,21/10/2022 9:03:05.5,4.8369,V DC,Interval,21/10/2022 9:03:06.6
21,4.8369,V DC,21/10/2022 9:03:06.6,0:00:01.0,21/10/2022 9:03:07.0,4.837,V DC,4.83695,V DC,21/10/2022 9:03:06.6,4.8369,V DC,Interval,21/10/2022 9:03:07.6
22,4.837,V DC,21/10/2022 9:03:07.6,0:00:01.0,21/10/2022 9:03:07.6,4.837,V DC,4.837,V DC,21/10/2022 9:03:07.6,4.837,V DC,Interval,21/10/2022 9:03:08.6
23,4.837,V DC,21/10/2022 9:03:08.6,0:00:01.0,21/10/2022 9:03:08.9,4.8371,V DC,4.83707,V DC,21/10/2022 9:03:08.6,4.837,V DC,Interval,21/10/2022 9:03:09.6
24,4.8371,V DC,21/10/2022 9:03:09.6,0:00:01.0,21/10/2022 9:03:09.6,4.8371,V DC,4.8371,V DC,21/10/2022 9:03:09.6,4.8371,V DC,Interval,21/10/2022 9:03:10.6
25,4.8371,V DC,21/10/2022 9:03:10.6,0:00:01.0,21/10/2022 9:03:10.6,4.8371,V DC,4.83701,V DC,21/10/2022 9:03:10.7,4.837,V DC,Interval,21/10/2022 9:03:11.6
26,4.837,V DC,21/10/2022 9:03:11.6,0:00:00.9,21/10/2022 9:03:11.6,4.837,V DC,4.837,V DC,21/10/2022 9:03:11.6,4.837,V DC,Interval,21/10/2022 9:03:12.5
27,4.837,V DC,21/10/2022 9:03:12.5,0:00:01.0,21/10/2022 9:03:12.5,4.837,V DC,4.83694,V DC,21/10/2022 9:03:12.9,4.8369,V DC,Interval,21/10/2022 9:03:13.5
28,4.8369,V DC,21/10/2022 9:03:13.5,0:00:01.0,21/10/2022 9:03:13.5,4.8369,V DC,4.8369,V DC,21/10/2022 9:03:13.5,4.8369,V DC,Interval,21/10/2022 9:03:14.5
29,4.8369,V DC,21/10/2022 9:03:14.5,0:00:01.0,21/10/2022 9:03:15.1,4.837,V DC,4.83694,V DC,21/10/2022 9:03:14.5,4.8369,V DC,Interval,21/10/2022 9:03:15.5
30,4.837,V DC,21/10/2022 9:03:15.5,0:00:01.0,21/10/2022 9:03:15.6,4.8371,V DC,4.83702,V DC,21/10/2022 9:03:15.5,4.837,V DC,Interval,21/10/2022 9:03:16.5
31,4.837,V DC,21/10/2022 9:03:16.5,0:00:01.0,21/10/2022 9:03:16.6,4.8371,V DC,4.83698,V DC,21/10/2022 9:03:17.1,4.8369,V DC,Interval,21/10/2022 9:03:17.5
32,4.837,V DC,21/10/2022 9:03:17.5,0:00:01.0,21/10/2022 9:03:17.5,4.837,V DC,4.837,V DC,21/10/2022 9:03:17.5,4.837,V DC,Interval,21/10/2022 9:03:18.5
33,4.837,V DC,21/10/2022 9:03:18.5,0:00:01.0,21/10/2022 9:03:18.5,4.837,V DC,4.837,V DC,21/10/2022 9:03:18.5,4.837,V DC,Interval,21/10/2022 9:03:19.5
34,4.837,V DC,21/10/2022 9:03:19.5,0:00:01.0,21/10/2022 9:03:19.5,4.837,V DC,4.837,V DC,21/10/2022 9:03:19.5,4.837,V DC,Interval,21/10/2022 9:03:20.5
35,4.837,V DC,21/10/2022 9:03:20.5,0:00:01.0,21/10/2022 9:03:20.5,4.837,V DC,4.83699,V DC,21/10/2022 9:03:21.2,4.8369,V DC,Interval,21/10/2022 9:03:21.5
36,4.837,V DC,21/10/2022 9:03:21.5,0:00:01.0,21/10/2022 9:03:21.5,4.837,V DC,4.837,V DC,21/10/2022 9:03:21.5,4.837,V DC,Interval,21/10/2022 9:03:22.5
37,4.837,V DC,21/10/2022 9:03:22.5,0:00:01.0,21/10/2022 9:03:22.5,4.837,V DC,4.83695,V DC,21/10/2022 9:03:23.1,4.8369,V DC,Interval,21/10/2022 9:03:23.6
38,4.8369,V DC,21/10/2022 9:03:23.6,0:00:01.3,21/10/2022 9:03:23.6,4.8369,V DC,4.8369,V DC,21/10/2022 9:03:23.6,4.8369,V DC,Interval,21/10/2022 9:03:24.9
39,4.8369,V DC,21/10/2022 9:03:24.9,0:00:00.7,21/10/2022 9:03:24.9,4.8369,V DC,4.8369,V DC,21/10/2022 9:03:24.9,4.8369,V DC,Interval,21/10/2022 9:03:25.6
40,4.8369,V DC,21/10/2022 9:03:25.6,0:00:01.0,21/10/2022 9:03:25.6,4.8369,V DC,4.8369,V DC,21/10/2022 9:03:25.6,4.8369,V DC,Interval,21/10/2022 9:03:26.6
41,4.8369,V DC,21/10/2022 9:03:26.6,0:00:01.0,21/10/2022 9:03:26.7,4.837,V DC,4.83698,V DC,21/10/2022 9:03:26.6,4.8369,V DC,Interval,21/10/2022 9:03:27.6
42,4.837,V DC,21/10/2022 9:03:27.6,0:00:00.9,21/10/2022 9:03:27.6,4.837,V DC,4.83693333333333,V DC,21/10/2022 9:03:28.4,4.8368,V DC,Interval,21/10/2022 9:03:28.5
43,4.8368,V DC,21/10/2022 9:03:28.5,0:00:01.0,21/10/2022 9:03:29.3,4.837,V DC,4.83687,V DC,21/10/2022 9:03:28.5,4.8368,V DC,Interval,21/10/2022 9:03:29.5
44,4.837,V DC,21/10/2022 9:03:29.5,0:00:01.0,21/10/2022 9:03:29.9,4.8371,V DC,4.83706,V DC,21/10/2022 9:03:29.5,4.837,V DC,Interval,21/10/2022 9:03:30.5
45,4.8371,V DC,21/10/2022 9:03:30.5,0:00:01.0,21/10/2022 9:03:30.5,4.8371,V DC,4.83705,V DC,21/10/2022 9:03:31.0,4.837,V DC,Interval,21/10/2022 9:03:31.5
46,4.837,V DC,21/10/2022 9:03:31.5,0:00:01.0,21/10/2022 9:03:31.5,4.837,V DC,4.837,V DC,21/10/2022 9:03:31.5,4.837,V DC,Interval,21/10/2022 9:03:32.5
47,4.837,V DC,21/10/2022 9:03:32.5,0:00:01.0,21/10/2022 9:03:32.5,4.837,V DC,4.837,V DC,21/10/2022 9:03:32.5,4.837,V DC,Interval,21/10/2022 9:03:33.5
48,4.837,V DC,21/10/2022 9:03:33.5,0:00:01.0,21/10/2022 9:03:34.0,4.8371,V DC,4.83702,V DC,21/10/2022 9:03:33.5,4.837,V DC,Interval,21/10/2022 9:03:34.5
49,4.837,V DC,21/10/2022 9:03:34.5,0:00:01.0,21/10/2022 9:03:35.3,4.8371,V DC,4.83702,V DC,21/10/2022 9:03:34.5,4.837,V DC,Interval,21/10/2022 9:03:35.5
50,4.8371,V DC,21/10/2022 9:03:35.5,0:00:01.0,21/10/2022 9:03:35.5,4.8371,V DC,4.8371,V DC,21/10/2022 9:03:35.5,4.8371,V DC,Interval,21/10/2022 9:03:36.5
51,4.8371,V DC,21/10/2022 9:03:36.5,0:00:01.0,21/10/2022 9:03:36.5,4.8371,V DC,4.8371,V DC,21/10/2022 9:03:36.5,4.8371,V DC,Interval,21/10/2022 9:03:37.5
52,4.837,V DC,21/10/2022 9:03:37.5,0:00:01.0,21/10/2022 9:03:38.0,4.8371,V DC,4.83705,V DC,21/10/2022 9:03:37.5,4.837,V DC,Interval,21/10/2022 9:03:38.5
53,4.8371,V DC,21/10/2022 9:03:38.5,0:00:01.0,21/10/2022 9:03:38.5,4.8371,V DC,4.8371,V DC,21/10/2022 9:03:38.5,4.8371,V DC,Interval,21/10/2022 9:03:39.6
54,4.8371,V DC,21/10/2022 9:03:39.6,0:00:01.0,21/10/2022 9:03:39.6,4.8371,V DC,4.8371,V DC,21/10/2022 9:03:39.6,4.8371,V DC,Interval,21/10/2022 9:03:40.6
55,4.837,V DC,21/10/2022 9:03:40.6,0:00:01.0,21/10/2022 9:03:40.9,4.8371,V DC,4.83704,V DC,21/10/2022 9:03:40.6,4.837,V DC,Interval,21/10/2022 9:03:41.6
56,4.837,V DC,21/10/2022 9:03:41.6,0:00:01.0,21/10/2022 9:03:42.3,4.8371,V DC,4.83703,V DC,21/10/2022 9:03:41.6,4.837,V DC,Interval,21/10/2022 9:03:42.6
57,4.8371,V DC,21/10/2022 9:03:42.6,0:00:01.0,21/10/2022 9:03:42.6,4.8371,V DC,4.8371,V DC,21/10/2022 9:03:42.6,4.8371,V DC,Interval,21/10/2022 9:03:43.6
58,4.8371,V DC,21/10/2022 9:03:43.6,0:00:01.0,21/10/2022 9:03:43.6,4.8371,V DC,4.8371,V DC,21/10/2022 9:03:43.6,4.8371,V DC,Interval,21/10/2022 9:03:44.6
59,4.8371,V DC,21/10/2022 9:03:44.6,0:00:00.9,21/10/2022 9:03:44.9,4.8372,V DC,4.83711111111111,V DC,21/10/2022 9:03:44.6,4.8371,V DC,Interval,21/10/2022 9:03:45.5
60,4.8371,V DC,21/10/2022 9:03:45.5,0:00:01.0,21/10/2022 9:03:45.5,4.8371,V DC,4.8371,V DC,21/10/2022 9:03:45.5,4.8371,V DC,Interval,21/10/2022 9:03:46.5
61,4.8371,V DC,21/10/2022 9:03:46.5,0:00:01.0,21/10/2022 9:03:46.5,4.8371,V DC,4.8371,V DC,21/10/2022 9:03:46.5,4.8371,V DC,Interval,21/10/2022 9:03:47.5
62,4.8371,V DC,21/10/2022 9:03:47.5,0:00:01.0,21/10/2022 9:03:47.5,4.8371,V DC,4.8371,V DC,21/10/2022 9:03:47.5,4.8371,V DC,Interval,21/10/2022 9:03:48.5
63,4.8371,V DC,21/10/2022 9:03:48.5,0:00:01.0,21/10/2022 9:03:48.5,4.8371,V DC,4.8371,V DC,21/10/2022 9:03:48.5,4.8371,V DC,Interval,21/10/2022 9:03:49.5
64,4.8371,V DC,21/10/2022 9:03:49.5,0:00:01.0,21/10/2022 9:03:49.5,4.8371,V DC,4.8371,V DC,21/10/2022 9:03:49.5,4.8371,V DC,Interval,21/10/2022 9:03:50.5
65,4.8371,V DC,21/10/2022 9:03:50.5,0:00:01.0,21/10/2022 9:03:50.5,4.8371,V DC,4.8371,V DC,21/10/2022 9:03:50.5,4.8371,V DC,Interval,21/10/2022 9:03:51.5
66,4.8371,V DC,21/10/2022 9:03:51.5,0:00:01.0,21/10/2022 9:03:52.1,4.8372,V DC,4.83714,V DC,21/10/2022 9:03:51.5,4.8371,V DC,Interval,21/10/2022 9:03:52.5
67,4.8372,V DC,21/10/2022 9:03:52.5,0:00:01.0,21/10/2022 9:03:52.8,4.8373,V DC,4.83722,V DC,21/10/2022 9:03:52.5,4.8372,V DC,Interval,21/10/2022 9:03:53.5
68,4.8372,V DC,21/10/2022 9:03:53.5,0:00:01.0,21/10/2022 9:03:53.5,4.8372,V DC,4.83718,V DC,21/10/2022 9:03:53.9,4.8371,V DC,Interval,21/10/2022 9:03:54.5
69,4.8372,V DC,21/10/2022 9:03:54.5,0:00:01.0,21/10/2022 9:03:54.5,4.8372,V DC,4.83714,V DC,21/10/2022 9:03:54.6,4.8371,V DC,Interval,21/10/2022 9:03:55.6
70,4.8372,V DC,21/10/2022 9:03:55.6,0:00:01.0,21/10/2022 9:03:55.6,4.8372,V DC,4.83717,V DC,21/10/2022 9:03:56.5,4.837,V DC,Interval,21/10/2022 9:03:56.6
71,4.8369,V DC,21/10/2022 9:03:56.6,0:00:01.0,21/10/2022 9:03:56.6,4.8369,V DC,4.83686,V DC,21/10/2022 9:03:57.0,4.8368,V DC,Interval,21/10/2022 9:03:57.6
72,4.8369,V DC,21/10/2022 9:03:57.6,0:00:01.0,21/10/2022 9:03:57.7,4.837,V DC,4.83691,V DC,21/10/2022 9:03:57.6,4.8369,V DC,Interval,21/10/2022 9:03:58.6
73,4.8369,V DC,21/10/2022 9:03:58.6,0:00:01.0,21/10/2022 9:03:59.5,4.8378,V DC,4.83727,V DC,21/10/2022 9:03:58.7,4.8368,V DC,Interval,21/10/2022 9:03:59.6
74,4.8388,V DC,21/10/2022 9:03:59.6,0:00:01.0,21/10/2022 9:03:59.6,4.8388,V DC,4.83749,V DC,21/10/2022 9:04:00.1,4.837,V DC,Interval,21/10/2022 9:04:00.6
75,4.8373,V DC,21/10/2022 9:04:00.6,0:00:01.0,21/10/2022 9:04:01.3,4.8388,V DC,4.83779,V DC,21/10/2022 9:04:00.6,4.8373,V DC,Interval,21/10/2022 9:04:01.6
76,4.8383,V DC,21/10/2022 9:04:01.6,0:00:01.0,21/10/2022 9:04:02.0,4.8398,V DC,4.8387,V DC,21/10/2022 9:04:01.7,4.8376,V DC,Interval,21/10/2022 9:04:02.6
77,4.8389,V DC,21/10/2022 9:04:02.6,0:00:00.9,21/10/2022 9:04:02.6,4.8389,V DC,4.83468888888889,V DC,21/10/2022 9:04:03.2,4.8284,V DC,Interval,21/10/2022 9:04:03.5
78,4.8396,V DC,21/10/2022 9:04:03.5,0:00:01.0,21/10/2022 9:04:03.9,4.8416,V DC,4.83109,V DC,21/10/2022 9:04:04.2,4.8102,V DC,Interval,21/10/2022 9:04:04.5
79,4.8049,V DC,21/10/2022 9:04:04.5,0:00:01.0,21/10/2022 9:04:04.8,4.8235,V DC,4.80983,V DC,21/10/2022 9:04:05.4,4.8036,V DC,Interval,21/10/2022 9:04:05.5
80,4.8037,V DC,21/10/2022 9:04:05.5,0:00:01.0,21/10/2022 9:04:06.1,4.8245,V DC,4.81247,V DC,21/10/2022 9:04:05.5,4.8037,V DC,Interval,21/10/2022 9:04:06.5
81,4.8048,V DC,21/10/2022 9:04:06.5,0:00:01.0,21/10/2022 9:04:07.0,4.8256,V DC,4.80835,V DC,21/10/2022 9:04:06.7,4.8028,V DC,Interval,21/10/2022 9:04:07.5
82,4.8208,V DC,21/10/2022 9:04:07.5,0:00:01.0,21/10/2022 9:04:08.0,4.8259,V DC,4.8116,V DC,21/10/2022 9:04:08.3,4.8031,V DC,Interval,21/10/2022 9:04:08.5
