FLUKE 289,  V1.16,  32940021

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,,Start Time,Duration,Max Time,Max,,Average,,Min Time,Min,,Description,Stop Time
1,0.007642,A AC,24/10/2022 12:05:31.9,0:00:00.3,24/10/2022 12:05:32.1,0.007673,A AC,0.00765433333333333,A AC,24/10/2022 12:05:31.9,0.007642,A AC,Interval,24/10/2022 12:05:32.2
2,0.007666,A AC,24/10/2022 12:05:32.2,0:00:00.9,24/10/2022 12:05:32.2,0.007666,A AC,0.00760422222222222,A AC,24/10/2022 12:05:33.0,0.007538,A AC,Interval,24/10/2022 12:05:33.1
3,0.00754,A AC,24/10/2022 12:05:33.1,0:00:01.0,24/10/2022 12:05:33.1,0.00754,A AC,0.0074971,A AC,24/10/2022 12:05:33.8,0.007471,A AC,Interval,24/10/2022 12:05:34.1
4,0.007516,A AC,24/10/2022 12:05:34.1,0:00:01.0,24/10/2022 12:05:35.0,0.007555,A AC,0.007528,A AC,24/10/2022 12:05:34.3,0.007491,A AC,Interval,24/10/2022 12:05:35.1
5,0.007557,A AC,24/10/2022 12:05:35.1,0:00:01.0,24/10/2022 12:05:35.8,0.007612,A AC,0.0075903,A AC,24/10/2022 12:05:35.1,0.007557,A AC,Interval,24/10/2022 12:05:36.1
6,0.00762,A AC,24/10/2022 12:05:36.1,0:00:01.0,24/10/2022 12:05:36.1,0.00762,A AC,0.0075732,A AC,24/10/2022 12:05:37.0,0.007519,A AC,Interval,24/10/2022 12:05:37.1
7,0.00751,A AC,24/10/2022 12:05:37.1,0:00:01.0,24/10/2022 12:05:38.0,0.007548,A AC,0.0075061,A AC,24/10/2022 12:05:37.3,0.007483,A AC,Interval,24/10/2022 12:05:38.1
8,0.007578,A AC,24/10/2022 12:05:38.1,0:00:01.0,24/10/2022 12:05:38.6,0.007579,A AC,0.0075736,A AC,24/10/2022 12:05:38.2,0.007565,A AC,Interval,24/10/2022 12:05:39.1
9,0.007588,A AC,24/10/2022 12:05:39.1,0:00:01.0,24/10/2022 12:05:39.8,0.00763,A AC,0.0076097,A AC,24/10/2022 12:05:40.1,0.007578,A AC,Interval,24/10/2022 12:05:40.2
10,0.007583,A AC,24/10/2022 12:05:40.2,0:00:01.0,24/10/2022 12:05:40.3,0.007584,A AC,0.0075491,A AC,24/10/2022 12:05:41.1,0.007502,A AC,Interval,24/10/2022 12:05:41.2
11,0.007509,A AC,24/10/2022 12:05:41.2,0:00:01.0,24/10/2022 12:05:42.1,0.007615,A AC,0.0075538,A AC,24/10/2022 12:05:41.2,0.007509,A AC,Interval,24/10/2022 12:05:42.2
12,0.007639,A AC,24/10/2022 12:05:42.2,0:00:01.0,24/10/2022 12:05:43.1,0.007666,A AC,0.0076323,A AC,24/10/2022 12:05:42.6,0.007616,A AC,Interval,24/10/2022 12:05:43.2
