Reading;Sample;;Start Time;Duration;Max Time;Max;;Average;;Min Time;Min;;Description;Stop Time
1;23,2;°C;22.06.22 6:16:54,6;0:01:00,1;22.06.22 6:16:54,6;23,2;°C;23,104347826087;°C;22.06.22 6:17:16,2;23;°C;Interval;22.06.22 6:17:54,7
2;23,1;°C;22.06.22 6:17:54,7;0:01:00,0;22.06.22 6:18:31,6;23,2;°C;23,1031055900621;°C;22.06.22 6:18:03,2;23;°C;Interval;22.06.22 6:18:54,6
3;23,1;°C;22.06.22 6:18:54,6;0:01:00,1;22.06.22 6:18:54,6;23,1;°C;23,095652173913;°C;22.06.22 6:19:11,4;23;°C;Interval;22.06.22 6:19:54,7
4;23;°C;22.06.22 6:19:54,7;0:01:00,1;22.06.22 6:20:35,1;23,2;°C;23,0844720496894;°C;22.06.22 6:19:54,7;23;°C;Interval;22.06.22 6:20:54,9
5;23,1;°C;22.06.22 6:20:54,9;0:01:00,0;22.06.22 6:20:56,3;23,2;°C;23,1024844720497;°C;22.06.22 6:20:54,9;23,1;°C;Interval;22.06.22 6:21:54,9
6;23,1;°C;22.06.22 6:21:54,9;0:01:00,2;22.06.22 6:21:54,9;23,1;°C;23,0975;°C;22.06.22 6:21:57,6;23;°C;Interval;22.06.22 6:22:55,0
7;23,1;°C;22.06.22 6:22:55,0;0:00:59,7;22.06.22 6:22:55,0;23,1;°C;23,0893081761006;°C;22.06.22 6:23:17,1;23;°C;Interval;22.06.22 6:23:54,7
8;23,1;°C;22.06.22 6:23:54,7;0:01:00,1;22.06.22 6:23:54,7;23,1;°C;23,0925;°C;22.06.22 6:23:58,8;23;°C;Interval;22.06.22 6:24:54,8
9;23,1;°C;22.06.22 6:24:54,8;0:01:00,0;22.06.22 6:24:54,8;23,1;°C;23,06375;°C;22.06.22 6:24:55,1;23;°C;Interval;22.06.22 6:25:54,8
10;23;°C;22.06.22 6:25:54,8;0:01:00,1;22.06.22 6:25:56,7;23,1;°C;23,01;°C;22.06.22 6:25:54,8;23;°C;Interval;22.06.22 6:26:55,0
11;23;°C;22.06.22 6:26:55,0;0:00:59,7;22.06.22 6:27:06,2;23,1;°C;23,048427672956;°C;22.06.22 6:26:55,0;23;°C;Interval;22.06.22 6:27:54,7
12;23,1;°C;22.06.22 6:27:54,7;0:01:00,0;22.06.22 6:27:54,7;23,1;°C;23,018125;°C;22.06.22 6:27:55,0;23;°C;Interval;22.06.22 6:28:54,7
13;23;°C;22.06.22 6:28:54,7;0:01:00,0;22.06.22 6:28:55,8;23,1;°C;23,003125;°C;22.06.22 6:28:54,7;23;°C;Interval;22.06.22 6:29:54,7
14;23;°C;22.06.22 6:29:54,7;0:01:00,1;22.06.22 6:29:54,7;23;°C;22,985625;°C;22.06.22 6:30:00,3;22,9;°C;Interval;22.06.22 6:30:54,8
15;23;°C;22.06.22 6:30:54,8;0:01:00,0;22.06.22 6:30:54,8;23;°C;22,945625;°C;22.06.22 6:31:00,4;22,9;°C;Interval;22.06.22 6:31:54,8
16;23;°C;22.06.22 6:31:54,8;0:01:00,0;22.06.22 6:31:54,8;23;°C;22,91625;°C;22.06.22 6:31:57,1;22,9;°C;Interval;22.06.22 6:32:54,8
