timestamp,uptimeInS,bootCount,lastResetCause,powerAmplifierTemperature,quartzTemperature,isTxOn,lastSyncRssi,averageSyncRssi,lastPacketRssi,averagePacketRssi,environmentRssi,txPacketCounter,txByteCounter,rxPacketCounter,rxByteCounter,badCrcCounter,beaconTxCounter,gsWdtTimeLeftInS,
978311837,4636,480,201326592,29,29,1,-101,-100,-101,-99,-131,1026,97560,55,1270,0,119,80084,
978311843,4641,480,201326592,29,29,1,-101,-100,-101,-99,-131,1026,97560,55,1270,0,119,80079,
978311848,4646,480,201326592,29,29,1,-101,-100,-101,-99,-131,1026,97560,55,1270,0,119,80074,
978311853,4651,480,201326592,29,29,1,-101,-100,-101,-99,-130,1026,97560,55,1270,0,119,80069,
978311858,4656,480,201326592,29,29,1,-101,-100,-101,-99,-131,1026,97560,55,1270,0,119,80064,
978311863,4661,480,201326592,29,29,1,-101,-100,-101,-99,-130,1026,97560,55,1270,0,119,80059,
978311868,4666,480,201326592,29,29,1,-101,-100,-101,-99,-129,1029,97840,55,1270,0,120,80054,
978311873,4672,480,201326592,29,29,1,-101,-100,-101,-99,-128,1029,97840,55,1270,0,120,80048,
978311878,4677,480,201326592,29,29,1,-101,-100,-101,-99,-132,1029,97840,55,1270,0,120,80043,
978311883,4682,480,201326592,29,29,1,-101,-100,-101,-99,-130,1029,97840,55,1270,0,120,80038,
978311888,4687,480,201326592,29,29,1,-101,-100,-101,-99,-131,1029,97840,55,1270,0,120,80033,
978311894,4692,480,201326592,29,29,1,-101,-100,-101,-99,-130,1029,97840,55,1270,0,120,80028,
978311899,4697,480,201326592,29,29,1,-101,-100,-101,-99,-131,1032,98120,55,1270,0,121,80023,
978311904,4702,480,201326592,29,29,1,-101,-100,-101,-99,-130,1032,98120,55,1270,0,121,80018,
978311909,4707,480,201326592,29,29,1,-101,-100,-101,-99,-129,1032,98120,55,1270,0,121,80013,
978311914,4712,480,201326592,29,29,1,-101,-100,-101,-99,-133,1032,98120,55,1270,0,121,80008,
978311919,4717,480,201326592,29,29,1,-101,-100,-101,-99,-130,1032,98120,55,1270,0,121,80003,
978311924,4723,480,201326592,29,29,1,-101,-100,-101,-99,-129,1032,98120,55,1270,0,121,79997,
978311929,4728,480,201326592,29,29,1,-101,-100,-101,-99,-130,1035,98400,55,1270,0,122,79992,
978311934,4733,480,201326592,29,29,1,-101,-100,-101,-99,-129,1035,98400,55,1270,0,122,79987,
978311939,4738,480,201326592,29,29,1,-101,-100,-101,-99,-129,1035,98400,55,1270,0,122,79982,
978311945,4743,480,201326592,29,29,1,-101,-100,-101,-99,-132,1035,98400,55,1270,0,122,79977,
978311950,4748,480,201326592,29,29,1,-101,-100,-101,-99,-129,1035,98400,55,1270,0,122,79972,
978311955,4753,480,201326592,29,29,1,-101,-100,-101,-99,-128,1035,98400,55,1270,0,122,79967,
978311960,4758,480,201326592,29,29,1,-101,-100,-101,-99,-131,1038,98680,55,1270,0,123,79962,
978311965,4763,480,201326592,29,29,1,-101,-100,-101,-99,-131,1038,98680,55,1270,0,123,79957,
