FLUKE 289,  V1.16,  33850029

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,,Start Time,Duration,Max Time,Max,,Average,,Min Time,Min,,Description,Stop Time
1,4.8627,V DC,24/10/2022 11:07:03.8,0:00:00.5,24/10/2022 11:07:04.1,4.8628,V DC,4.86274,V DC,24/10/2022 11:07:03.8,4.8627,V DC,Interval,24/10/2022 11:07:04.3
2,4.8628,V DC,24/10/2022 11:07:04.3,0:00:00.9,24/10/2022 11:07:04.8,4.8629,V DC,4.86281111111111,V DC,24/10/2022 11:07:04.3,4.8628,V DC,Interval,24/10/2022 11:07:05.2
3,4.8628,V DC,24/10/2022 11:07:05.2,0:00:01.0,24/10/2022 11:07:05.4,4.8629,V DC,4.86288,V DC,24/10/2022 11:07:05.2,4.8628,V DC,Interval,24/10/2022 11:07:06.2
4,4.8629,V DC,24/10/2022 11:07:06.2,0:00:01.0,24/10/2022 11:07:06.2,4.8629,V DC,4.8629,V DC,24/10/2022 11:07:06.2,4.8629,V DC,Interval,24/10/2022 11:07:07.2
5,4.8629,V DC,24/10/2022 11:07:07.2,0:00:01.0,24/10/2022 11:07:07.2,4.8629,V DC,4.8629,V DC,24/10/2022 11:07:07.2,4.8629,V DC,Interval,24/10/2022 11:07:08.2
6,4.8629,V DC,24/10/2022 11:07:08.2,0:00:01.0,24/10/2022 11:07:08.2,4.8629,V DC,4.86289,V DC,24/10/2022 11:07:09.1,4.8628,V DC,Interval,24/10/2022 11:07:09.2
7,4.8628,V DC,24/10/2022 11:07:09.2,0:00:01.0,24/10/2022 11:07:09.8,4.8629,V DC,4.86284,V DC,24/10/2022 11:07:09.2,4.8628,V DC,Interval,24/10/2022 11:07:10.3
8,4.8629,V DC,24/10/2022 11:07:10.3,0:00:01.0,24/10/2022 11:07:10.3,4.8629,V DC,4.8629,V DC,24/10/2022 11:07:10.3,4.8629,V DC,Interval,24/10/2022 11:07:11.2
9,4.8629,V DC,24/10/2022 11:07:11.2,0:00:01.0,24/10/2022 11:07:11.2,4.8629,V DC,4.8629,V DC,24/10/2022 11:07:11.2,4.8629,V DC,Interval,24/10/2022 11:07:12.3
10,4.8629,V DC,24/10/2022 11:07:12.3,0:00:01.0,24/10/2022 11:07:12.3,4.8629,V DC,4.86289,V DC,24/10/2022 11:07:12.5,4.8628,V DC,Interval,24/10/2022 11:07:13.3
11,4.8629,V DC,24/10/2022 11:07:13.3,0:00:01.0,24/10/2022 11:07:13.3,4.8629,V DC,4.8629,V DC,24/10/2022 11:07:13.3,4.8629,V DC,Interval,24/10/2022 11:07:14.3
12,4.8629,V DC,24/10/2022 11:07:14.3,0:00:01.0,24/10/2022 11:07:14.3,4.8629,V DC,4.86289,V DC,24/10/2022 11:07:14.9,4.8628,V DC,Interval,24/10/2022 11:07:15.3
13,4.8629,V DC,24/10/2022 11:07:15.3,0:00:01.1,24/10/2022 11:07:15.4,4.863,V DC,4.86295714285714,V DC,24/10/2022 11:07:15.3,4.8629,V DC,Interval,24/10/2022 11:07:16.4
14,4.863,V DC,24/10/2022 11:07:16.4,0:00:00.9,24/10/2022 11:07:16.4,4.863,V DC,4.86295555555556,V DC,24/10/2022 11:07:16.5,4.8629,V DC,Interval,24/10/2022 11:07:17.3
15,4.8628,V DC,24/10/2022 11:07:17.3,0:00:01.0,24/10/2022 11:07:17.3,4.8628,V DC,4.86257,V DC,24/10/2022 11:07:17.7,4.8625,V DC,Interval,24/10/2022 11:07:18.3
16,4.8626,V DC,24/10/2022 11:07:18.3,0:00:01.0,24/10/2022 11:07:18.3,4.8626,V DC,4.86253,V DC,24/10/2022 11:07:18.4,4.8625,V DC,Interval,24/10/2022 11:07:19.3
17,4.8625,V DC,24/10/2022 11:07:19.3,0:00:01.0,24/10/2022 11:07:19.9,4.8633,V DC,4.86263,V DC,24/10/2022 11:07:19.3,4.8625,V DC,Interval,24/10/2022 11:07:20.3
18,4.8626,V DC,24/10/2022 11:07:20.3,0:00:01.0,24/10/2022 11:07:20.8,4.8627,V DC,4.86255,V DC,24/10/2022 11:07:20.9,4.8624,V DC,Interval,24/10/2022 11:07:21.3
19,4.8626,V DC,24/10/2022 11:07:21.3,0:00:00.9,24/10/2022 11:07:21.8,4.8627,V DC,4.86252222222222,V DC,24/10/2022 11:07:21.5,4.8623,V DC,Interval,24/10/2022 11:07:22.2
20,4.8626,V DC,24/10/2022 11:07:22.2,0:00:01.0,24/10/2022 11:07:22.3,4.8627,V DC,4.86254,V DC,24/10/2022 11:07:22.9,4.8623,V DC,Interval,24/10/2022 11:07:23.2
21,4.8626,V DC,24/10/2022 11:07:23.2,0:00:01.0,24/10/2022 11:07:23.7,4.8629,V DC,4.86276,V DC,24/10/2022 11:07:23.3,4.8625,V DC,Interval,24/10/2022 11:07:24.2
22,4.8629,V DC,24/10/2022 11:07:24.2,0:00:01.0,24/10/2022 11:07:24.2,4.8629,V DC,4.86265,V DC,24/10/2022 11:07:24.8,4.8625,V DC,Interval,24/10/2022 11:07:25.2
23,4.8625,V DC,24/10/2022 11:07:25.2,0:00:01.0,24/10/2022 11:07:26.1,4.864,V DC,4.86284,V DC,24/10/2022 11:07:25.2,4.8625,V DC,Interval,24/10/2022 11:07:26.2
24,4.8634,V DC,24/10/2022 11:07:26.2,0:00:01.0,24/10/2022 11:07:26.2,4.8634,V DC,4.86286,V DC,24/10/2022 11:07:26.3,4.8626,V DC,Interval,24/10/2022 11:07:27.2
25,4.8624,V DC,24/10/2022 11:07:27.2,0:00:01.0,24/10/2022 11:07:27.9,4.8625,V DC,4.86242,V DC,24/10/2022 11:07:27.5,4.8623,V DC,Interval,24/10/2022 11:07:28.3
26,4.8625,V DC,24/10/2022 11:07:28.3,0:00:01.0,24/10/2022 11:07:28.3,4.8625,V DC,4.86238333333333,V DC,24/10/2022 11:07:29.0,4.8622,V DC,Interval,24/10/2022 11:07:29.3
27,4.8625,V DC,24/10/2022 11:07:29.3,0:00:01.0,24/10/2022 11:07:29.3,4.8625,V DC,4.86245,V DC,24/10/2022 11:07:29.4,4.8622,V DC,Interval,24/10/2022 11:07:30.3
28,4.8625,V DC,24/10/2022 11:07:30.3,0:00:01.0,24/10/2022 11:07:30.8,4.863,V DC,4.86285,V DC,24/10/2022 11:07:30.3,4.8625,V DC,Interval,24/10/2022 11:07:31.3
29,4.8629,V DC,24/10/2022 11:07:31.3,0:00:01.0,24/10/2022 11:07:32.1,4.863,V DC,4.86291,V DC,24/10/2022 11:07:31.3,4.8629,V DC,Interval,24/10/2022 11:07:32.3
30,4.863,V DC,24/10/2022 11:07:32.3,0:00:01.0,24/10/2022 11:07:32.3,4.863,V DC,4.86292,V DC,24/10/2022 11:07:32.4,4.8629,V DC,Interval,24/10/2022 11:07:33.3
31,4.863,V DC,24/10/2022 11:07:33.3,0:00:01.0,24/10/2022 11:07:33.3,4.863,V DC,4.863,V DC,24/10/2022 11:07:33.3,4.863,V DC,Interval,24/10/2022 11:07:34.3
32,4.863,V DC,24/10/2022 11:07:34.3,0:00:01.0,24/10/2022 11:07:34.3,4.863,V DC,4.863,V DC,24/10/2022 11:07:34.3,4.863,V DC,Interval,24/10/2022 11:07:35.3
33,4.863,V DC,24/10/2022 11:07:35.3,0:00:01.0,24/10/2022 11:07:35.3,4.863,V DC,4.863,V DC,24/10/2022 11:07:35.3,4.863,V DC,Interval,24/10/2022 11:07:36.3
34,4.863,V DC,24/10/2022 11:07:36.3,0:00:00.9,24/10/2022 11:07:36.3,4.863,V DC,4.863,V DC,24/10/2022 11:07:36.3,4.863,V DC,Interval,24/10/2022 11:07:37.2
35,4.863,V DC,24/10/2022 11:07:37.2,0:00:01.0,24/10/2022 11:07:37.6,4.8631,V DC,4.86305,V DC,24/10/2022 11:07:37.2,4.863,V DC,Interval,24/10/2022 11:07:38.2
36,4.863,V DC,24/10/2022 11:07:38.2,0:00:01.0,24/10/2022 11:07:38.2,4.863,V DC,4.86294,V DC,24/10/2022 11:07:38.6,4.8629,V DC,Interval,24/10/2022 11:07:39.2
37,4.863,V DC,24/10/2022 11:07:39.2,0:00:01.0,24/10/2022 11:07:39.2,4.863,V DC,4.863,V DC,24/10/2022 11:07:39.2,4.863,V DC,Interval,24/10/2022 11:07:40.2
38,4.863,V DC,24/10/2022 11:07:40.2,0:00:01.3,24/10/2022 11:07:40.2,4.863,V DC,4.863,V DC,24/10/2022 11:07:40.2,4.863,V DC,Interval,24/10/2022 11:07:41.5
39,4.863,V DC,24/10/2022 11:07:41.5,0:00:00.7,24/10/2022 11:07:41.5,4.863,V DC,4.863,V DC,24/10/2022 11:07:41.5,4.863,V DC,Interval,24/10/2022 11:07:42.2
40,4.863,V DC,24/10/2022 11:07:42.2,0:00:01.0,24/10/2022 11:07:42.2,4.863,V DC,4.863,V DC,24/10/2022 11:07:42.2,4.863,V DC,Interval,24/10/2022 11:07:43.2
41,4.863,V DC,24/10/2022 11:07:43.2,0:00:01.0,24/10/2022 11:07:43.2,4.863,V DC,4.86297,V DC,24/10/2022 11:07:43.6,4.8629,V DC,Interval,24/10/2022 11:07:44.3
42,4.863,V DC,24/10/2022 11:07:44.3,0:00:01.0,24/10/2022 11:07:44.3,4.863,V DC,4.863,V DC,24/10/2022 11:07:44.3,4.863,V DC,Interval,24/10/2022 11:07:45.3
43,4.863,V DC,24/10/2022 11:07:45.3,0:00:01.0,24/10/2022 11:07:45.3,4.863,V DC,4.863,V DC,24/10/2022 11:07:45.3,4.863,V DC,Interval,24/10/2022 11:07:46.3
44,4.863,V DC,24/10/2022 11:07:46.3,0:00:01.0,24/10/2022 11:07:46.5,4.8631,V DC,4.86303,V DC,24/10/2022 11:07:46.3,4.863,V DC,Interval,24/10/2022 11:07:47.3
45,4.863,V DC,24/10/2022 11:07:47.3,0:00:01.0,24/10/2022 11:07:48.1,4.8631,V DC,4.86301,V DC,24/10/2022 11:07:47.3,4.863,V DC,Interval,24/10/2022 11:07:48.3
46,4.863,V DC,24/10/2022 11:07:48.3,0:00:01.0,24/10/2022 11:07:48.5,4.8631,V DC,4.86306,V DC,24/10/2022 11:07:48.3,4.863,V DC,Interval,24/10/2022 11:07:49.3
47,4.8631,V DC,24/10/2022 11:07:49.3,0:00:01.0,24/10/2022 11:07:49.3,4.8631,V DC,4.86308,V DC,24/10/2022 11:07:49.4,4.863,V DC,Interval,24/10/2022 11:07:50.3
48,4.863,V DC,24/10/2022 11:07:50.3,0:00:01.0,24/10/2022 11:07:50.3,4.863,V DC,4.86285,V DC,24/10/2022 11:07:50.7,4.8628,V DC,Interval,24/10/2022 11:07:51.3
49,4.8628,V DC,24/10/2022 11:07:51.3,0:00:01.0,24/10/2022 11:07:52.0,4.8631,V DC,4.86298,V DC,24/10/2022 11:07:51.3,4.8628,V DC,Interval,24/10/2022 11:07:52.3
50,4.8631,V DC,24/10/2022 11:07:52.3,0:00:01.0,24/10/2022 11:07:52.3,4.8631,V DC,4.86299,V DC,24/10/2022 11:07:53.2,4.8628,V DC,Interval,24/10/2022 11:07:53.3
51,4.8628,V DC,24/10/2022 11:07:53.3,0:00:01.0,24/10/2022 11:07:54.2,4.8629,V DC,4.86281666666667,V DC,24/10/2022 11:07:53.3,4.8628,V DC,Interval,24/10/2022 11:07:54.3
52,4.863,V DC,24/10/2022 11:07:54.3,0:00:00.9,24/10/2022 11:07:54.7,4.8631,V DC,4.86305555555556,V DC,24/10/2022 11:07:54.3,4.863,V DC,Interval,24/10/2022 11:07:55.2
53,4.8631,V DC,24/10/2022 11:07:55.2,0:00:01.0,24/10/2022 11:07:55.2,4.8631,V DC,4.8631,V DC,24/10/2022 11:07:55.2,4.8631,V DC,Interval,24/10/2022 11:07:56.2
