time; timestamp; t_delta; target; angle
06/03/2022, 10:53:37; 1654246417.579094; 10.077103853225708; 0.667614; 0.667614
06/03/2022, 10:53:47; 1654246427.658256; 20.1562659740448; 1.335227; 1.321023
06/03/2022, 10:53:57; 1654246437.7351077; 30.23311758041382; 2.002841; 1.988636
06/03/2022, 10:54:07; 1654246447.8143935; 40.312403440475464; 2.684659; 2.670454
06/03/2022, 10:54:17; 1654246457.8922594; 50.39026927947998; 3.352273; 3.352273
06/03/2022, 10:54:27; 1654246467.9712687; 60.46927857398987; 4.019886; 4.005682
06/03/2022, 10:54:38; 1654246478.051444; 70.54945397377014; 4.701705; 4.701704
06/03/2022, 10:54:48; 1654246488.130934; 80.6289439201355; 5.369318; 5.355113
06/03/2022, 10:54:58; 1654246498.2107854; 90.70879530906677; 6.036932; 6.036932
06/03/2022, 10:55:08; 1654246508.287407; 100.78541684150696; 6.71875; 6.71875
06/03/2022, 10:55:18; 1654246518.365634; 110.86364388465881; 7.386364; 7.386363
06/03/2022, 10:55:28; 1654246528.4436562; 120.94166612625122; 8.053977; 8.053977
06/03/2022, 10:55:38; 1654246538.5208344; 131.0188443660736; 8.721591; 8.707386
06/03/2022, 10:55:48; 1654246548.598904; 141.09691381454468; 9.403409; 9.403409
06/03/2022, 10:55:58; 1654246558.675141; 151.17315101623535; 10.071023; 10.071023
06/03/2022, 10:56:08; 1654246568.7633457; 161.26135563850403; 10.738636; 10.724432
06/03/2022, 10:56:18; 1654246578.84496; 171.34296989440918; 11.420455; 11.420455
06/03/2022, 10:56:28; 1654246588.9288402; 181.4268500804901; 12.088068; 12.073864
06/03/2022, 10:56:39; 1654246599.0094576; 191.50746750831604; 12.755682; 12.741477
06/03/2022, 10:56:49; 1654246609.0897431; 201.58775305747986; 13.4375; 13.4375
06/03/2022, 10:56:59; 1654246619.1741767; 211.67218661308289; 14.105114; 14.105114
06/03/2022, 10:57:09; 1654246629.255432; 221.7534418106079; 14.772727; 14.772727
06/03/2022, 10:57:19; 1654246639.3368466; 231.83485651016235; 15.454545; 15.440341
06/03/2022, 10:57:29; 1654246649.4216702; 241.9196801185608; 16.122159; 16.107954
06/03/2022, 10:57:39; 1654246659.504025; 252.00203490257263; 16.789773; 16.775568
06/03/2022, 10:57:49; 1654246669.587063; 262.0850729942322; 17.471591; 17.47159
06/03/2022, 10:57:59; 1654246679.667211; 272.16522097587585; 18.139205; 18.139204
06/03/2022, 10:58:09; 1654246689.747579; 282.24558901786804; 18.806818; 18.806818
06/03/2022, 10:58:19; 1654246699.827338; 292.3253479003906; 19.474432; 19.460227
06/03/2022, 10:58:29; 1654246709.9127975; 302.4108073711395; 20.15625; 20.15625
06/03/2022, 10:58:39; 1654246719.9955812; 312.49359107017517; 20.823864; 20.809659
06/03/2022, 10:58:50; 1654246730.0761251; 322.57413506507874; 21.491477; 21.477272
06/03/2022, 10:59:00; 1654246740.1555672; 332.6535770893097; 22.173295; 22.173295
06/03/2022, 10:59:10; 1654246750.2367055; 342.73471546173096; 22.840909; 22.840909
06/03/2022, 10:59:20; 1654246760.3231673; 352.8211772441864; 23.508523; 23.494318
06/03/2022, 10:59:30; 1654246770.4048188; 362.9028286933899; 24.190341; 24.176136
06/03/2022, 10:59:40; 1654246780.4898984; 372.9879083633423; 24.857955; 24.857954
06/03/2022, 10:59:50; 1654246790.5740318; 383.0720417499542; 25.525568; 25.511363
06/03/2022, 11:00:00; 1654246800.660578; 393.15858793258667; 26.207386; 26.193181
06/03/2022, 11:00:10; 1654246810.7423954; 403.2404053211212; 26.875; 26.875
06/03/2022, 11:00:20; 1654246820.8259134; 413.3239233493805; 27.542614; 27.528409
06/03/2022, 11:00:30; 1654246830.9100664; 423.4080762863159; 28.224432; 28.210227
06/03/2022, 11:00:40; 1654246840.992755; 433.4907648563385; 28.892045; 28.87784
06/03/2022, 11:00:51; 1654246851.076892; 443.5749018192291; 29.559659; 29.559659
06/03/2022, 11:01:01; 1654246861.1584907; 453.65650057792664; 30.241477; 30.227272
06/03/2022, 11:01:11; 1654246871.2398126; 463.7378225326538; 30.909091; 30.90909
06/03/2022, 11:01:21; 1654246881.320802; 473.81881189346313; 31.576705; 31.576704
06/03/2022, 11:01:31; 1654246891.4009047; 483.8989145755768; 32.258523; 32.258522
06/03/2022, 11:01:41; 1654246901.4854753; 493.9834852218628; 32.926136; 32.926136
06/03/2022, 11:01:51; 1654246911.5673566; 504.06536650657654; 33.59375; 33.59375
06/03/2022, 11:02:01; 1654246921.6498241; 514.1478340625763; 34.275568; 34.261363
06/03/2022, 11:02:11; 1654246931.7313778; 524.2293877601624; 34.943182; 34.94318
06/03/2022, 11:02:21; 1654246941.814237; 534.3122470378876; 35.610795; 35.596591
06/03/2022, 11:02:31; 1654246951.8972147; 544.395224571228; 36.292614; 36.292613
06/03/2022, 11:02:41; 1654246961.9825046; 554.4805145263672; 36.960227; 36.960227
06/03/2022, 11:02:52; 1654246972.0656946; 564.5637044906616; 37.627841; 37.613636
06/03/2022, 11:03:02; 1654246982.1449122; 574.6429221630096; 38.295455; 38.28125
06/03/2022, 11:03:12; 1654246992.224581; 584.7225909233093; 38.977273; 38.963069
06/03/2022, 11:03:22; 1654247002.3073723; 594.8053822517395; 39.644886; 39.644886
06/03/2022, 11:03:32; 1654247012.3902314; 604.8882412910461; 40.3125; 40.3125
06/03/2022, 11:03:42; 1654247022.4696543; 614.9676642417908; 40.994318; 40.994319
06/03/2022, 11:03:52; 1654247032.5527136; 625.0507235527039; 41.661932; 41.647727
06/03/2022, 11:04:02; 1654247042.6347954; 635.1328053474426; 42.329545; 42.315341
06/03/2022, 11:04:12; 1654247052.7189243; 645.2169342041016; 43.011364; 43.011363
06/03/2022, 11:04:22; 1654247062.801868; 655.2998778820038; 43.678977; 43.664772
06/03/2022, 11:04:32; 1654247072.8844757; 665.382485628128; 44.346591; 44.346591
06/03/2022, 11:04:42; 1654247082.9658046; 675.463814496994; 45.028409; 45.028408
06/03/2022, 11:04:53; 1654247093.0483062; 685.5463161468506; 45.696023; 45.681819
06/03/2022, 11:05:03; 1654247103.1284642; 695.6264741420746; 46.363636; 46.34943
06/03/2022, 11:05:13; 1654247113.2093656; 705.7073755264282; 47.045455; 47.045455
06/03/2022, 11:05:23; 1654247123.2895072; 715.7875170707703; 47.713068; 47.713069
06/03/2022, 11:05:33; 1654247133.3730636; 725.8710734844208; 48.380682; 48.366477
06/03/2022, 11:05:43; 1654247143.4583375; 735.9563474655151; 49.0625; 49.0625
06/03/2022, 11:05:53; 1654247153.5418181; 746.0398280620575; 49.730114; 49.715908
