FLUKE 289,  V1.16,  33850029

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,,Start Time,Duration,Max Time,Max,,Average,,Min Time,Min,,Description,Stop Time
1,4.8665,V DC,24/10/2022 9:39:18.0,0:00:00.4,24/10/2022 9:39:18.0,4.8665,V DC,4.8665,V DC,24/10/2022 9:39:18.0,4.8665,V DC,Interval,24/10/2022 9:39:18.4
2,4.8666,V DC,24/10/2022 9:39:18.4,0:00:01.0,24/10/2022 9:39:18.8,4.8669,V DC,4.86647,V DC,24/10/2022 9:39:18.5,4.8664,V DC,Interval,24/10/2022 9:39:19.4
3,4.8665,V DC,24/10/2022 9:39:19.4,0:00:01.0,24/10/2022 9:39:20.1,4.8668,V DC,4.86649,V DC,24/10/2022 9:39:19.6,4.8664,V DC,Interval,24/10/2022 9:39:20.4
4,4.8664,V DC,24/10/2022 9:39:20.4,0:00:01.0,24/10/2022 9:39:20.7,4.8665,V DC,4.86642,V DC,24/10/2022 9:39:21.3,4.866,V DC,Interval,24/10/2022 9:39:21.4
5,4.8664,V DC,24/10/2022 9:39:21.4,0:00:01.0,24/10/2022 9:39:21.4,4.8664,V DC,4.86458,V DC,24/10/2022 9:39:21.9,4.8636,V DC,Interval,24/10/2022 9:39:22.4
6,4.8638,V DC,24/10/2022 9:39:22.4,0:00:01.0,24/10/2022 9:39:22.7,4.8639,V DC,4.86386,V DC,24/10/2022 9:39:22.4,4.8638,V DC,Interval,24/10/2022 9:39:23.4
7,4.8638,V DC,24/10/2022 9:39:23.4,0:00:01.0,24/10/2022 9:39:23.5,4.8639,V DC,4.86388,V DC,24/10/2022 9:39:23.4,4.8638,V DC,Interval,24/10/2022 9:39:24.4
8,4.8639,V DC,24/10/2022 9:39:24.4,0:00:01.0,24/10/2022 9:39:25.2,4.864,V DC,4.86389,V DC,24/10/2022 9:39:24.5,4.8638,V DC,Interval,24/10/2022 9:39:25.4
9,4.864,V DC,24/10/2022 9:39:25.4,0:00:01.0,24/10/2022 9:39:25.4,4.864,V DC,4.86399,V DC,24/10/2022 9:39:25.5,4.8639,V DC,Interval,24/10/2022 9:39:26.4
10,4.864,V DC,24/10/2022 9:39:26.4,0:00:01.0,24/10/2022 9:39:26.4,4.864,V DC,4.86394,V DC,24/10/2022 9:39:26.8,4.8639,V DC,Interval,24/10/2022 9:39:27.4
11,4.8639,V DC,24/10/2022 9:39:27.4,0:00:01.0,24/10/2022 9:39:28.0,4.864,V DC,4.86394,V DC,24/10/2022 9:39:27.4,4.8639,V DC,Interval,24/10/2022 9:39:28.4
